station_code, seoulmetro_code, external_code, station_name(kor),lat,lng
153,1217,K135,양평,37.492832,127.491814
154,1218,K136,원덕,37.468672,127.547076
155,1219,K137,용문,37.482230,127.594647
156,1220,K138,지평,37.4764956,127.627492
157,1251,P313,서울역,37.556328,126.969522
158,1252,P312,신촌,37.559783,126.942319
159,1261,K826,효창공원앞,37.539261,126.961351
160,1262,K312,공덕,37.544018,126.951592
161,1263,K313,서강대,37.551881,126.935711
162,1264,K314,홍대입구,37.557192,126.925381
163,1266,K316,디지털미디어시티,37.576646,126.900984
164,1267,K317,수색,37.580842,126.895611
165,1268,K318,화전,37.602888,126.868387
166,1269,K319,강매,37.612314,126.843223
167,1270,K320,행신,37.612102,126.834146
168,1271,K321,능곡,37.618808,126.820783
169,1272,K323,곡산,37.645676,126.801762
170,1273,K324,백마,37.658239,126.794461
171,1274,K325,풍산,37.672346,126.786243
172,1275,K326,일산,37.682077,126.769846
173,1276,K327,탄현,37.694023,126.761086
174,1277,K328,야당,37.712327,126.761356
175,1278,K329,운정,37.725826,126.767257
176,1279,K330,금릉,37.751322,126.765347
177,1280,K331,금촌,37.766217,126.774644
178,1282,K333,월롱,37.796188,126.792587
179,1283,K334,파주,37.815298,126.792783
180,1284,K335,문산,37.854619,126.788047
181,1285,K336,임진강,37.88888,126.7453083
182,1305,P116,광운대,37.580178,127.046835
183,1306,P117,청량리,37.589460,127.057583
184,1307,P118,회기,37.594917,127.076116
185,1309,P120,상봉,37.596362,127.085032
186,1310,P121,망우,37.599550,127.091909
187,1311,P122,신내,37.612887,127.103218
188,1312,P123,갈매,37.634118,127.114757
189,1313,P124,별내,37.642020,127.126840
190,1314,P125,퇴계원,37.648311,127.143952
191,1315,P126,사릉,37.651080,127.176933
192,1316,P127,금곡,37.637382,127.207853
193,1317,P128,평내호평,37.653225,127.244493
194,1318,P129,천마산,37.658978,127.285379
195,1319,P130,마석,37.652782,127.311767
196,1320,P131,대성리,37.684071,127.379319
197,1321,P132,청평,37.735488,127.426610
198,1322,P133,상천,37.770246,127.454821
199,1323,P134,가평,37.814536,127.510739
200,1324,P135,굴봉산,37.832067,127.557695
201,1325,P136,백양리,37.830779,127.589330
202,1326,P137,강촌,37.805723,127.634146
203,1327,P138,김유정,37.818466,127.714340
204,1328,P139,남춘천,37.864007,127.723792
205,1329,P140,춘천,37.885054,127.717023
206,1401,P170,봉명,36.801215,127.135763
207,1402,P171,쌍용,36.793759,127.121400
208,1403,P172,아산,36.792053,127.104361
209,1405,P174,배방,36.777629,127.052991
210,1407,P176,온양온천,36.780483,127.003249
211,1408,P177,신창,36.769502,126.951108
212,1450,435,선바위,37.451673,127.002303
213,1451,436,경마공원,37.443885,127.007888
214,1452,437,대공원,37.435675,127.006523
215,1453,438,과천,37.433021,126.996568
216,1454,439,정부과천청사,37.426513,126.989780
217,1455,440,인덕원,37.401553,126.976715
218,1456,441,평촌,37.394287,126.963883
219,1457,442,범계,37.389793,126.950806
220,1458,443,금정,37.372221,126.943429
221,1503,K412,삼동,37.409522,127.20336
222,1504,K413,경기광주,37.399907,127.252630
223,1505,K414,초월,37.374419,127.29900
224,1506,K415,곤지암,37.351315,127.346740
225,1507,K416,신둔도예촌,37.317185,127.40476
226,1508,K417,이천,37.265579,127.442260
227,1509,K418,부발,37.260192,127.490277
228,1511,K420,여주,37.282069,127.628592
229,1701,141,구로,37.503039,126.881966
230,1702,P142,가산디지털단지,37.481072,126.882343
231,1703,P144,금천구청,37.455626,126.893980
232,1704,P145,석수,37.435047,126.902295
233,1705,P146,관악,37.419232,126.908706
234,1706,P147,안양,37.401592,126.922874
235,1707,P148,명학,37.384653,126.935433
236,1708,P149,금정,37.372221,126.943429
237,1709,P150,군포,37.353560,126.948462
238,1710,P152,의왕,37.320852,126.948217
239,1711,P153,성균관대,37.300349,126.970750
240,1712,P154,화서,37.283862,126.989627
241,1713,P155,수원,37.265974,126.999874
242,1714,P143,독산,37.466613,126.889249
243,1715,P156,세류,37.245025,127.013222
244,1716,P157,병점,37.207503,127.032731
245,1717,P158,세마,37.187533,127.043180
246,1718,P159,오산대,37.168953,127.063197
247,1510,K419,세종대왕릉,37.295309,127.570938
248,1719,P160,오산,37.145885,127.066720
249,1720,P161,진위,37.109447,127.062278
250,1721,P162,송탄,37.075696,127.054301
251,1722,P163,서정리,37.056496,127.052819
252,1724,P165,평택,36.990726,127.085159
253,1725,P166,성환,36.916076,127.126964
254,1726,P167,직산,36.870593,127.143904
255,1727,P168,두정,36.833705,127.148960
256,1728,P169,천안,36.810005,127.146826
257,1749,P157-1,서동탄,37.195504,127.051672
258,1750,P144-1,광명,37.416182,126.884466
259,1751,444,산본,37.358101,126.933274
260,1752,446,대야미,37.328467,126.917332
261,1753,447,반월,37.312212,126.903524
262,1754,448,상록수,37.302795,126.866489
263,1755,449,한대앞,37.309689,126.853440
264,1756,450,중앙,37.315941,126.838573
265,1757,451,고잔,37.316777,126.823249
266,1758,452,초지,37.320646,126.805913
267,1759,453,안산,37.327082,126.788532
268,1760,454,신길온천,37.338212,126.765844
269,1761,455,정왕,37.351735,126.742989
270,1762,456,오이도,37.362357,126.738714
271,1763,445,수리산,37.349801,126.925365
272,1800,K250,오이도,37.362357,126.738714
273,1801,143,개봉,37.494594,126.858680
274,1802,144,오류동,37.494526,126.845365
275,1803,146,역곡,37.485178,126.811502
276,1804,148,부천,37.484050,126.782686
277,1805,150,송내,37.487600,126.753664
278,1806,152,부평,37.489493,126.724805
279,1807,153,백운,37.483664,126.707704
280,1808,154,동암,37.471408,126.702896
281,1810,158,제물포,37.466769,126.656666
282,1811,160,동인천,37.475276,126.632802
283,1812,161,인천,37.476691,126.616936
284,1813,142,구일,37.496756,126.870793
285,1814,147,소사,37.482753,126.795440
286,1815,151,부개,37.488418,126.741090
287,1816,155,간석,37.464737,126.694181
288,1817,159,도원,37.468446,126.642706
289,1821,145,온수,37.492258,126.823388
290,1822,149,중동,37.486562,126.764843
291,1823,157,도화,37.466070,126.668672
292,1845,K209,청량리,37.580178,127.046835
293,1847,K211,서울숲,37.543617,127.044707
294,1848,K212,압구정로데오,37.527381,127.040534
295,1849,K213,강남구청,37.517186,127.041280
296,1850,K214,선정릉,37.510980,127.043593
297,1851,K223,가천대,37.448605,127.126697
298,1852,K224,태평,37.440019,127.127709
299,1853,K225,모란,37.432130,127.129087
300,1854,K226,야탑,37.411185,127.128715
301,1855,K228,서현,37.385126,127.123592
302,1856,K229,수내,37.378455,127.114322
303,1857,K230,정자,37.367060,127.108105
304,1858,K231,미금,37.350077,127.108910
305,1860,K227,이매,37.396104,127.128270
306,1861,K234,보정,37.312752,127.108196
307,1863,K235,구성,37.298969,127.105664
308,1864,K236,신갈,37.286102,127.111313
309,1866,K238,상갈,37.261810,127.108847
310,1867,K239,청명,37.259489,127.078934
311,1868,K240,영통,37.251568,127.071394
312,1869,K241,망포,37.245795,127.057353
313,1870,K242,매탄권선,37.252759,127.040566
314,1871,K243,수원시청,37.261911,127.030736
315,1872,K244,매교,37.265481,127.015678
316,1873,K245,수원,37.265974,126.999874
317,1878,K251,달월,37.379681,126.745177
318,1879,K252,월곶,37.391769,126.742699
319,1880,K253,소래포구,37.400950,126.733522
320,1881,K254,인천논현,37.400614,126.722478
321,1882,K255,호구포,37.401637,126.708627
322,1883,K256,남동인더스파크,37.407722,126.695216
323,1884,K257,원인재,37.412603,126.687389
324,1885,K258,연수,37.417804,126.678940
325,1886,K259,송도,37.428514,126.657772
326,1888,K261,인하대,37.448493,126.649619
327,1889,K262,숭의,37.460789,126.638297
328,1891,K264,인천,37.476691,126.616936
329,1901,115,방학,37.667503,127.044273
330,1902,114,도봉,37.679563,127.045595
331,1903,113,도봉산,37.689313,127.046222
332,1904,112,망월사,37.709914,127.047455
333,1905,111,회룡,37.724846,127.046895
334,1906,110,의정부,37.738415,127.045958
335,1907,109,가능,37.748577,127.044213
336,1908,108,녹양,37.759380,127.042292
337,1909,107,양주,37.774381,127.044708
338,1910,106,덕계,37.818486,127.056486
339,1911,105,덕정,37.843188,127.061277
340,1912,104,지행,37.892334,127.055716
341,1913,103,동두천중앙,37.901885,127.056482
342,1914,102,보산,37.913702,127.057277
343,1915,101,동두천,37.927878,127.054790
344,1948,317,원흥,37.653324,126.843041
345,1951,316,원당,37.634592,126.832650
346,1953,314,대곡,37.643114,126.787870
347,1954,313,백석,37.652206,126.777620
348,1956,311,정발산,37.670072,126.761334
349,1957,310,주엽,37.676087,126.747569
350,1958,309,대화,37.650658,126.872642
351,2511,510,방화,37.577446,126.812741
352,2512,511,개화산,37.572399,126.806171
353,2513,512,김포공항,37.562434,126.801058
354,2514,513,송정,37.561184,126.811973
355,2515,514,마곡,37.560183,126.825448
356,2516,515,발산,37.558598,126.837668
357,2517,516,우장산,37.548768,126.836318
358,2518,517,화곡,37.541513,126.840461
359,2519,518,까치산,37.531768,126.846683
360,2520,519,신정,37.524997,126.856191
361,2521,520,목동,37.526065,126.864931
362,2522,521,오목교,37.524496,126.875181
363,2523,522,양평,37.525648,126.885778
364,2524,523,영등포구청,37.524970,126.895951
365,2525,524,영등포시장,37.522669,126.905139
366,2526,525,신길,37.517122,126.917169
367,1950,318,삼송,37.653083,126.895558
368,2527,526,여의도,37.521624,126.924191
369,2528,527,여의나루,37.527098,126.932901
370,2529,528,마포,37.539574,126.945932
371,2530,529,공덕,37.544018,126.951592
372,2531,530,애오개,37.553736,126.956820
373,2532,531,충정로,37.559973,126.963672
374,2533,532,서대문,37.565773,126.966641
375,2534,533,광화문,37.571026,126.976669
376,2535,534,종로3가,37.571607,126.991806
377,2536,535,을지로4가,37.566941,126.998079
378,2537,536,동대문역사문화공원,37.565138,127.007896
379,2538,537,청구,37.560245,127.013828
380,2539,538,신금호,37.554548,127.020331
381,2540,539,행당,37.557322,127.029476
382,2541,540,왕십리,37.561533,127.037732
383,2542,541,마장,37.566100,127.042973
384,2544,543,장한평,37.561440,127.064623
385,2545,544,군자,37.557121,127.079542
386,2546,545,아차산,37.551691,127.089761
387,2547,546,광나루,37.545303,127.103570
388,2548,547,천호,37.538397,127.123572
389,2549,548,강동,37.535804,127.132481
390,2550,549,길동,37.537801,127.140004
391,2551,550,굽은다리,37.545477,127.142853
392,2552,551,명일,37.551370,127.143999
393,2553,552,고덕,37.555004,127.154151
394,2554,553,상일동,37.556712,127.166417
395,2555,P549,둔촌동,37.527788,127.136248
396,2556,P550,올림픽공원,37.516078,127.130848
397,2557,P551,방이,37.508857,127.126133
398,2558,P552,오금,37.502162,127.128111
399,2559,P553,개롱,37.498079,127.134820
400,2560,P554,거여,37.493105,127.144150
401,2561,P555,마천,37.494990,127.152781
402,2611,610,응암,37.598605,126.915577
403,2612,611,역촌,37.606021,126.922744
404,2613,612,불광,37.610469,126.929887
405,2614,613,독바위,37.618456,126.933031
406,2615,614,연신내,37.619001,126.921008
407,2616,615,구산,37.611377,126.917270
408,2617,616,새절,37.591148,126.913629
409,2618,617,증산,37.583876,126.909645
410,2619,618,디지털미디어시티,37.576646,126.900984
411,2620,619,월드컵경기장,37.569532,126.899298
412,2621,620,마포구청,37.563515,126.903343
413,2622,621,망원,37.556094,126.910052
414,2623,622,합정,37.549463,126.913739
415,2624,623,상수,37.547716,126.922852
416,2625,624,광흥창,37.547456,126.931993
417,2626,625,대흥,37.547771,126.942069
418,2627,626,공덕,37.544018,126.951592
419,2628,627,효창공원앞,37.539261,126.961351
420,2629,628,삼각지,37.534777,126.973110
421,2630,629,녹사평,37.534675,126.986695
422,2631,630,이태원,37.534488,126.994302
423,2632,631,한강진,37.539631,127.001725
424,2633,632,버티고개,37.548013,127.007055
425,2634,633,약수,37.554340,127.010655
426,2636,635,신당,37.565972,127.017820
427,2637,636,동묘앞,37.572627,127.016429
428,2638,637,창신,37.579661,127.015241
429,2639,638,보문,37.585286,127.019381
430,2640,639,안암,37.586272,127.029005
431,2641,640,고려대,37.590508,127.036296
432,2642,641,월곡,37.601948,127.041518
433,2643,642,상월곡,37.606377,127.048491
434,2635,634,청구,37.560245,127.013828
435,2644,643,돌곶이,37.610537,127.056431
436,2645,644,석계,37.614805,127.065851
437,2646,645,태릉입구,37.617983,127.075120
438,2647,646,화랑대,37.620064,127.084689
439,2648,647,봉화산,37.617283,127.091401
440,2711,709,장암,37.700109,127.053196
441,2712,710,도봉산,37.689313,127.046222
442,2713,711,수락산,37.677850,127.055315
443,2714,712,마들,37.664940,127.057675
444,2715,713,노원,37.655128,127.061368
445,2716,714,중계,37.644583,127.064303
446,2717,715,하계,37.636352,127.067990
447,2719,717,태릉입구,37.617983,127.075120
448,2720,718,먹골,37.610637,127.077725
